Chương,Câu số,Nội dung Câu hỏi,Lựa chọn A,Lựa chọn B,Lựa chọn C,Lựa chọn D,Đáp án Đúng
CHƯƠNG 3,68,Vận tải đường sắt có thể chuyên chở được gấp mấy lần lượng hành khách/giờ/hướng so với đường ô tô?,Gấp 3 đến 5 lần.,"Gấp 1,5 đến 3 lần.",Gấp 5 đến 7 lần.,"Gấp 1,5 đến 4 lần.","Gấp 1,5 đến 4 lần."
CHƯƠNG 3,69,Tuyến đường bộ do con người xây dựng đầu tiên thời cổ đại do nền văn minh nào xây dựng?,Nền văn minh Ai Cập.,Nền văn minh La Mã.,Nền văn minh Malta.,Nền văn minh Hy Lạp.,Nền văn minh La Mã.
CHƯƠNG 3,70,Ô tô sử dụng động cơ đốt trong được phát minh ra vào thời gian nào?,Thế kỷ XVIII.,Thế kỷ XVII.,Thế kỷ XX.,Thế kỷ XIX.,Thế kỷ XIX.
CHƯƠNG 3,71,"Tại Việt Nam, tai nạn giao thông đường bộ chiếm gần bao nhiêu % tổng số vụ tai nạn giao thông hàng năm?",Chiếm 98%.,Chiếm 95%.,Chiếm 96%.,Chiếm 97%.,Chiếm 97%.
CHƯƠNG 3,72,Hiện nay trên thế giới có hơn bao nhiêu hải cảng lớn phục vụ vận tải biển?,Hơn 7.000 hải cảng.,Hơn 5.000 hải cảng.,Hơn 6.000 hải cảng.,Hơn 8.000 hải cảng.,Hơn 7.000 hải cảng.
CHƯƠNG 3,73,Máy bay được phát minh ra vào thời gian nào?,Thế kỷ XX.,Thế kỷ XVIII.,Thế kỷ XXI.,Thế kỷ XIX.,Thế kỷ XX.
CHƯƠNG 3,74,Thời kỳ hoàng kim của ngành hàng không dân dụng là khoảng thời gian nào?,Thập niên 1940 – 1970.,Thập niên 1950 – 1970.,Thập niên 1960 – 1990.,Thập niên 1970 – 2000.,Thập niên 1950 – 1970.
CHƯƠNG 3,75,Ngành hàng không toàn cầu đóng góp khoảng bao nhiêu % vào GDP thế giới (theo IATA)?,"Đóng góp 2,5%.","Đóng góp 5,5%.","Đóng góp 3,5%.","Đóng góp 4,5%.","Đóng góp 3,5%."
CHƯƠNG 4,76,Tốc độ giới hạn cho phép không phụ thuộc vào yếu tố nào sau đây?,Tình hình thực tế của hạ tầng giao thông.,Trình độ và kỹ năng của người lái xe.,Mật độ giao thông trên tuyến đường.,Mức độ hiện đại của hệ thống điều khiển giao thông.,Trình độ và kỹ năng của người lái xe.
CHƯƠNG 4,77,Chỉ tiêu tốc độ nào phản ánh thời gian thực tế từ khi hàng hóa rời kho gửi đến khi người nhận nhận được hàng?,Tốc độ chạy tàu trên quãng đường.,Tốc độ đưa hàng (tốc độ khai thác thương mại).,Tốc độ vận tải trung bình.,Tốc độ kỹ thuật của phương tiện.,Tốc độ đưa hàng (tốc độ khai thác thương mại).
CHƯƠNG 4,78,Chỉ tiêu nào phản ánh khả năng của hệ thống vận tải có thể thực hiện được trong một đơn vị thời gian dưới những điều kiện nhất định?,Hệ số đường không thẳng.,Mật độ mạng lưới giao thông.,Tổng trọng tải của phương tiện.,Khả năng thông qua của tuyến đường.,Khả năng thông qua của tuyến đường.
CHƯƠNG 4,79,Đâu không phải là tiêu chuẩn đánh giá mức độ phục vụ hành khách của hệ thống vận tải?,Mức độ an toàn và tin cậy trong quá trình di chuyển.,Tần suất hoạt động của các chuyến xe/tàu.,Giá thành xây dựng cơ sở hạ tầng ban đầu.,"Các dịch vụ tiện nghi đi kèm tại nhà ga, bến xe.",Giá thành xây dựng cơ sở hạ tầng ban đầu.
CHƯƠNG 4,80,"Trong các chỉ tiêu kinh tế của hệ thống vận tải, giá thành vận tải được cấu thành chủ yếu bởi:","Chi phí nhiên liệu, khấu hao phương tiện và lương nhân công.",Tổng doanh thu thu được từ việc bán vé.,Số lượng phương tiện hiện có của doanh nghiệp.,Chi phí quảng cáo và tiếp thị dịch vụ.,"Chi phí nhiên liệu, khấu hao phương tiện và lương nhân công."
CHƯƠNG 4,81,"Theo dòng lịch sử, loại hình vận tải nào thường được coi là xương sống của giao thông Việt Nam trong thời kỳ kháng chiến chống Pháp và chống Mỹ?",Đường hàng không dân dụng.,Đường biển đi các nước châu Âu.,Đường ống dẫn dầu thô quốc tế.,Đường sắt và hệ thống đường mòn trên bộ.,Đường sắt và hệ thống đường mòn trên bộ.
CHƯƠNG 4,82,Sự ra đời của tuyến đường sắt Bắc - Nam (Đường sắt Thống Nhất) có ý nghĩa lớn nhất là:,Chỉ để vận chuyển khách du lịch quốc tế.,Giảm lượng mưa tại các khu vực mà đường ray đi qua.,"Kết nối kinh tế, văn hóa và khẳng định sự thống nhất lãnh thổ giữa hai miền.",Thay thế hoàn toàn mọi hoạt động của đường bộ.,"Kết nối kinh tế, văn hóa và khẳng định sự thống nhất lãnh thổ giữa hai miền."
CHƯƠNG 4,83,"Trong giai đoạn đầu những năm 1900, mục đích chính của thực dân Pháp khi xây dựng các tuyến đường sắt tại Việt Nam là:",Phát triển du lịch sinh thái cho người dân bản địa.,Bảo vệ môi trường và sinh vật rừng.,Xây dựng hệ thống giao thông công cộng miễn phí.,"Khai thác tài nguyên, khoáng sản và củng cố bộ máy cai trị.","Khai thác tài nguyên, khoáng sản và củng cố bộ máy cai trị."
CHƯƠNG 4,84,Tại sao mạng lưới giao thông đường bộ tại Việt Nam lại chiếm tỷ trọng lớn nhất về khối lượng vận chuyển hành khách hiện nay?,Vì các phương tiện đường thủy không thể chở được con người.,"Vì đường bộ có tính linh động cao, cửa đến cửa (door -to-door) thuận tiện.",Vì chi phí mua vé máy bay rẻ hơn vé xe khách rất nhiều.,Vì đường sắt Việt Nam có tốc độ nhanh hơn đường bộ gấp 10 lần.,"Vì đường bộ có tính linh động cao, cửa đến cửa (door -to-door) thuận tiện."
CHƯƠNG 4,85,Yếu tố nào sau đây là chỉ tiêu quan trọng nhất để đánh giá hiệu quả của vận tải đa phương thức?,Độ dài của các đoạn đường chim bay.,Màu sắc trang trí trên các thùng container.,Tổng số lượng nhân viên làm việc tại các cảng.,Sự đồng bộ về thiết bị xếp dỡ và thời gian chuyển tải giữa các phương thức.,Sự đồng bộ về thiết bị xếp dỡ và thời gian chuyển tải giữa các phương thức.
CHƯƠNG 4,86,"Trong lịch sử vận tải thế giới, cuộc ""cách mạng container"" bắt đầu phổ biến từ khoảng thời gian nào?",Những năm đầu thế kỷ XIX.,Những năm 1950 - 1960 của thế kỷ XX.,Sau khi kết thúc Thế chiến thứ nhất (1918).,Mới xuất hiện từ sau năm 2010.,Những năm 1950 - 1960 của thế kỷ XX.
CHƯƠNG 4,87,"Chỉ tiêu ""Hệ số đường không thẳng"" lý tưởng nhất của một tuyến đường là bao nhiêu?",Càng lớn càng tốt.,Bằng 0.,"Bằng 0,5.",Bằng 1.,Bằng 1.
CHƯƠNG 4,88,Mật độ mạng lưới giao thông của một vùng được tính dựa trên:,Tổng số dân chia cho số lượng phương tiện giao thông.,Tổng chiều dài đường giao thông chia cho diện tích tự nhiên của vùng đó.,Tổng khối lượng hàng hóa chia cho số lượng nhà ga.,Số vụ tai nạn xảy ra trong một năm trên 1km đường.,Tổng chiều dài đường giao thông chia cho diện tích tự nhiên của vùng đó.
CHƯƠNG 4,89,Cuộc kháng chiến chống Mỹ cứu nước gắn liền với huyền thoại giao thông nào sau đây?,Cảng hàng không quốc tế đầu tiên tại Cần Thơ.,Đường mòn Hồ Chí Minh (đường Trường Sơn).,Tuyến đường sắt xuyên Á từ Hà Nội đi Bắc Kinh.,Hệ thống tàu điện ngầm tại thành phố Sài Gòn cũ.,Đường mòn Hồ Chí Minh (đường Trường Sơn).
CHƯƠNG 4,90,"Giai đoạn khôi phục kinh tế sau năm 1975, ngành giao thông Việt Nam tập trung ưu tiên nhiệm vụ nào?",Chỉ tập trung phát triển đường ống dẫn khí đốt nội đô.,Xóa bỏ hoàn toàn các phương tiện vận tải thô sơ.,Khôi phục các tuyến huyết mạch bị tàn phá và thông tuyến đường sắt Bắc - Nam.,Xây dựng sân bay vũ trụ tại miền Trung.,Khôi phục các tuyến huyết mạch bị tàn phá và thông tuyến đường sắt Bắc - Nam.
CHƯƠNG 4,91,Tuyến đường sắt răng cưa độc đáo nối Tháp Chàm và Đà Lạt được xây dựng vào thời kỳ nào?,Thời kỳ nhà Nguyễn trước khi Pháp xâm lược.,Thời kỳ đổi mới (sau 1986).,Sau khi đất nước hoàn toàn độc lập (1975).,Thời kỳ thuộc Pháp.,Thời kỳ thuộc Pháp.
CHƯƠNG 4,92,"Trong giai đoạn 9 năm kháng chiến chống Pháp, ở khu vực nào tuyến đường sắt bị phá hủy gần như toàn bộ do chiến tranh?",Toàn bộ các tuyến đường sắt trên cả nước.,Khu vực Bắc Bộ.,Khu vực Nam Bộ.,Khu vực Trung Bộ.,Khu vực Trung Bộ.
CHƯƠNG 4,93,"Trong giai đoạn năm 1954 – 1975, loại hình giao thông vận tải nào được coi là ít phát triển nhất tại miền Bắc?",Đường thủy nội địa.,Đường sắt.,Đường bộ.,Đường hàng không dân dụng.,Đường hàng không dân dụng.
CHƯƠNG 4,94,Hệ thống đường sắt Thống Nhất (Bắc - Nam) chính thức được khôi phục và thông tàu toàn tuyến vào năm nào?,Năm 1975.,Năm 1977.,Năm 1976.,Năm 1980.,Năm 1976.
CHƯƠNG 4,95,"Trong thập niên 1980, cơ cấu vận tải hàng hóaở Việt Nam chủ yếu dựa vào các loại hình nào do điều kiện kinh tế khó khăn?",Đường biển và đường hàng không.,Đường bộ và đường hàng không.,Đường biển và đường sắt.,Đường bộ và đường sắt.,Đường bộ và đường sắt.
CHƯƠNG 4,96,Vùng kinh tế nào sau đây có chiều dài mạng lưới đường tỉnh (tỉnh lộ) nhỏ nhất cả nước?,Tây Nguyên.,Đồng bằng sông Hồng.,Đông Nam Bộ.,Bắc Trung Bộ.,Tây Nguyên.
CHƯƠNG 4,97,Vùng nào có tỷ lệ đường tỉnh trên tổng mạng lưới đường quốc gia lớn nhất hiện nay?,Trung du và miền núi phía Bắc.,Tây Nguyên.,Đồng bằng sông Cửu Long.,Đông Nam Bộ.,Đông Nam Bộ.
CHƯƠNG 4,98,Chỉ tiêu nào sau đây không thuộc nhóm chỉ tiêu về chất lượng phục vụ của hệ thống vận tải?,Sự thuận tiện trong việc đặt chỗ và thanh toán.,Độ tin cậy về thời gian (đúng giờ).,Tổng số lượng phương tiện vận tải đang lưu hành.,Tỷ lệ hàng hóa bị hư hỏng trong quá trình vận chuyển.,Tổng số lượng phương tiện vận tải đang lưu hành.
CHƯƠNG 4,99,Tốc độ kỹ thuật của một phương tiện vận tải bị giới hạn chủ yếu bởi yếu tố nào?,Màu sắc và hình dáng khí động học của xe.,Tên gọi của hãng sản xuất phương tiện đó.,Đặc tính cấu tạo của động cơ và thiết kế của phương tiện.,Số lượng hành khách đang ngồi trên xe.,Đặc tính cấu tạo của động cơ và thiết kế của phương tiện.
CHƯƠNG 4,100,Việc tăng khả năng thông qua của một tuyến đường có thể được thực hiện bằng cách:,Tăng giá vé vận tải lên thật cao để hạn chế người đi.,Giảm bớt số lượng làn đường hiện có.,Cấm hoàn toàn các phương tiện vận tải hàng hóa lưu thông.,Ứng dụng hệ thống giao thông thông minh (ITS) để điều phối luồng xe.,Ứng dụng hệ thống giao thông thông minh (ITS) để điều phối luồng xe.
